X,Z
2.285,364.32
2.235,364.295
2.19,364.275
2.14,364.28
2.09,364.295
2.04,364.31
1.99,364.315
1.94,364.315
1.89,364.325
1.845,364.315
1.795,364.275
1.745,364.255
1.695,364.26
1.645,364.255
1.595,364.25
1.55,364.23
1.5,364.195
1.45,364.15
1.4,364.115
1.35,364.09
1.305,364.08
1.255,364.09
1.205,364.15
1.155,364.23
1.105,364.275
1.055,364.305
1.005,364.32
0.955,364.32
0.905,364.34
0.86,364.365
0.81,364.375
0.76,364.365
0.71,364.365
0.66,364.38
0.61,364.39
0.56,364.395
0.515,364.385
0.465,364.365
0.415,364.34
0.365,364.32
0.315,364.305
0.27,364.28
0.22,364.27
0.17,364.27
0.12,364.24
0.07,364.205
0.02,364.165
-0.03,364.135
-0.075,364.13
-0.125,364.145
-0.175,364.18
-0.225,364.235
-0.275,364.27
-0.325,364.305
-0.375,364.335
-0.42,364.37
-0.47,364.39
-0.52,364.39
-0.57,364.39
-0.62,364.395
-0.665,364.405
-0.715,364.395
-0.765,364.39
-0.815,364.385
-0.865,364.38
-0.915,364.355
-0.965,364.335
-1.015,364.33
-1.06,364.325
-1.11,364.295
-1.16,364.275
-1.21,364.27
-1.26,364.255
-1.31,364.205
-1.36,364.185
-1.405,364.21
-1.455,364.21
-1.505,364.215
-1.555,364.28
-1.605,364.35
-1.65,364.385
-1.7,364.41
-1.75,364.395
-1.8,364.355
-1.85,364.37
-1.895,364.395
-1.945,364.395
-1.995,364.43
