X,Z
11,371.165
10.95,371.185
10.905,371.195
10.855,371.185
10.81,371.19
10.76,371.19
10.715,371.185
10.67,371.165
10.62,371.13
10.575,371.12
10.525,371.14
10.48,371.14
10.435,371.13
10.385,371.13
10.335,371.145
10.29,371.165
10.24,371.165
10.195,371.17
10.145,371.185
10.1,371.155
10.05,371.145
10.005,371.175
9.955,371.2
9.905,371.21
9.86,371.205
9.815,371.175
9.765,371.16
9.72,371.165
9.67,371.175
9.625,371.18
9.575,371.18
9.53,371.17
9.48,371.16
9.43,371.185
9.385,371.22
9.335,371.21
9.29,371.2
9.24,371.205
9.195,371.21
9.145,371.21
9.1,371.205
9.05,371.21
9.005,371.22
8.955,371.225
8.91,371.225
8.86,371.22
8.815,371.21
8.765,371.225
8.72,371.235
8.67,371.22
8.625,371.205
8.58,371.205
8.53,371.22
8.48,371.245
8.435,371.25
8.385,371.25
8.34,371.255
8.29,371.26
8.245,371.26
8.195,371.255
8.15,371.265
8.1,371.265
8.055,371.26
8.005,371.25
7.96,371.255
7.91,371.28
7.865,371.275
7.82,371.25
7.77,371.22
7.725,371.22
7.675,371.23
7.63,371.24
7.58,371.23
7.535,371.225
7.485,371.24
7.44,371.25
7.39,371.255
7.345,371.27
7.295,371.28
7.245,371.285
7.2,371.27
7.15,371.275
7.105,371.295
7.055,371.29
7.01,371.27
6.965,371.265
6.915,371.27
6.865,371.29
6.82,371.31
6.77,371.31
6.725,371.31
6.675,371.295
6.63,371.275
6.585,371.28
6.535,371.28
6.49,371.26
6.44,371.245
6.395,371.235
6.345,371.25
6.3,371.26
6.25,371.285
6.2,371.315
6.155,371.305
6.11,371.29
6.06,371.295
6.015,371.295
5.965,371.3
5.92,371.305
5.87,371.305
5.82,371.33
5.775,371.35
5.725,371.34
5.68,371.32
5.635,371.315
5.585,371.3
5.54,371.295
5.49,371.29
5.445,371.3
5.395,371.32
5.35,371.32
5.3,371.315
5.255,371.305
5.205,371.305
5.16,371.325
5.11,371.345
5.065,371.35
5.015,371.345
4.97,371.34
4.92,371.33
4.875,371.32
4.825,371.315
4.78,371.315
4.73,371.33
4.685,371.345
4.635,371.34
4.59,371.315
4.545,371.295
4.495,371.28
4.45,371.29
4.4,371.32
4.35,371.345
4.305,371.35
4.26,371.335
4.21,371.345
4.16,371.34
4.115,371.305
4.07,371.305
4.02,371.32
3.975,371.325
3.925,371.34
3.88,371.345
3.83,371.32
3.785,371.31
3.735,371.33
3.69,371.31
3.645,371.275
3.595,371.295
3.545,371.335
3.5,371.325
3.45,371.325
3.405,371.35
3.355,371.36
3.31,371.345
3.26,371.33
3.215,371.33
3.165,371.34
3.12,371.355
3.07,371.38
